round,start_date,end_date,r2_ae_ridge
1,2000/1/1,2011/1/1,-0.035080874
2,2000/1/1,2012/1/1,0.0018524993550856905
3,2000/1/1,2013/1/1,-0.024783951
4,2000/1/1,2014/1/1,-0.128198362
5,2000/1/1,2015/1/1,-0.015829303
6,2000/1/1,2016/1/1,-0.012568917
7,2000/1/1,2017/1/1,-0.001058155
8,2000/1/1,2018/1/1,-0.026505903
9,2000/1/1,2019/1/1,-0.029214639
10,2000/1/1,2020/1/1,-0.03167891
11,2000/1/1,2021/1/1,-0.018006728
12,2000/1/1,2022/1/1,0.0007911405171535657
13,2000/1/1,2023/1/1,-0.023715743
14,2000/1/1,2024/1/1,-0.001538322
