round,start_date,end_date,r2_enet_simple
1,2000-01-01,2011-01-01,-0.03272049523823428
2,2000-01-01,2012-01-01,-0.00022990344948370378
3,2000-01-01,2013-01-01,-0.01981124842088211
4,2000-01-01,2014-01-01,-0.11363893298050942
5,2000-01-01,2015-01-01,-0.005222552895078447
6,2000-01-01,2016-01-01,-0.005737831822813844
7,2000-01-01,2017-01-01,-0.005435032219021085
8,2000-01-01,2018-01-01,-0.016441273866525608
9,2000-01-01,2019-01-01,-0.02765267432268792
10,2000-01-01,2020-01-01,-0.029287525709830398
11,2000-01-01,2021-01-01,-0.010354051692470057
12,2000-01-01,2022-01-01,-0.007587189851967047
13,2000-01-01,2023-01-01,-0.025648075037873808
14,2000-01-01,2024-01-01,-0.009249864713002154
