round,start_date,end_date,r2_lasso
1,2000-01-01,2011-01-01,-0.03163833761788504
2,2000-01-01,2012-01-01,-0.0002344417879316385
3,2000-01-01,2013-01-01,-0.01980491378891558
4,2000-01-01,2014-01-01,-0.11364975266367994
5,2000-01-01,2015-01-01,-0.0052191742693061816
6,2000-01-01,2016-01-01,-0.0057231559631527595
7,2000-01-01,2017-01-01,-0.005435032219021085
8,2000-01-01,2018-01-01,-0.01707405683397356
9,2000-01-01,2019-01-01,-0.027647911406116776
10,2000-01-01,2020-01-01,-0.029287525709830398
11,2000-01-01,2021-01-01,-0.010354051692470057
12,2000-01-01,2022-01-01,-0.007587189851967047
13,2000-01-01,2023-01-01,-0.029887719629988263
14,2000-01-01,2024-01-01,-0.010435486317969866
