round,start_date,end_date,r2_ols
1,2000-01-01,2011-01-01,-0.05293359492216365
2,2000-01-01,2012-01-01,-0.02721752507677122
3,2000-01-01,2013-01-01,-0.06104765613278662
4,2000-01-01,2014-01-01,-0.15332710269157146
5,2000-01-01,2015-01-01,-0.03843649479647482
6,2000-01-01,2016-01-01,-0.17785912859628117
7,2000-01-01,2017-01-01,-0.1138585332534896
8,2000-01-01,2018-01-01,-0.03716302699222718
9,2000-01-01,2019-01-01,-0.036403996604523536
10,2000-01-01,2020-01-01,-0.08795500913206045
11,2000-01-01,2021-01-01,-0.02459635787971437
12,2000-01-01,2022-01-01,-0.0011173488807294518
13,2000-01-01,2023-01-01,-0.0274103971001618
14,2000-01-01,2024-01-01,-0.08083812218464614
