round,start_date,end_date,r2_ridge,best_alpha
1,2000-01-01,2011-01-01,-0.036373879853015545,499999.99999999796
2,2000-01-01,2012-01-01,-0.00036038992634668254,49999999.9999998
3,2000-01-01,2013-01-01,-0.019223180819594177,7924465.962305522
4,2000-01-01,2014-01-01,-0.11287083110299867,3971641.1736213947
5,2000-01-01,2015-01-01,-0.0039491103638120695,6294627.058970805
6,2000-01-01,2016-01-01,-0.005573173067457526,3971641.1736213947
7,2000-01-01,2017-01-01,-0.0043285710319127535,9976311.574844373
8,2000-01-01,2018-01-01,-0.01646857285286729,3971641.1736213947
9,2000-01-01,2019-01-01,-0.02578732085231894,1990535.8527674766
10,2000-01-01,2020-01-01,-0.02931032234312192,49999999.9999998
11,2000-01-01,2021-01-01,-0.010650281451183297,49999999.9999998
12,2000-01-01,2022-01-01,-0.006831668230204313,49999999.9999998
13,2000-01-01,2023-01-01,-0.02457310404871027,315478.67224009585
14,2000-01-01,2024-01-01,-0.0037942437627060954,499999.99999999796
